m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,16.0,18.1,18.8,18.2,5.0,0.55,16.0
1,2,15.6,17.6,18.2,22.4,5.0,0.47,11.0
1,3,15.0,17.3,18.3,19.6,5.0,0.43,7.0
2,1,15.5,17.9,18.8,17.9,5.0,0.46,12.0
2,2,15.0,17.6,18.4,17.9,4.0,0.43,16.0
2,3,15.1,18.1,18.3,19.6,4.0,0.48,13.0
3,1,15.2,17.7,18.3,17.9,5.0,0.54,8.0
3,2,15.1,17.8,18.9,19.4,4.0,0.43,12.0
3,3,15.3,17.4,18.2,20.2,5.0,0.49,34.0
4,1,15.6,18.1,19.2,18.0,5.0,0.49,16.0
4,2,16.2,18.7,20.5,18.6,4.0,0.35,4.0
4,3,15.7,18.5,19.9,16.9,4.0,0.42,10.0
5,1,16.8,19.4,20.8,14.9,3.0,0.3,3.0
5,2,17.4,19.9,21.4,20.7,3.0,0.25,3.0
5,3,17.6,20.1,21.6,18.1,4.0,0.34,3.0
6,1,18.3,20.5,22.3,16.0,4.0,0.42,30.0
6,2,18.7,21.0,22.6,16.6,4.0,0.41,6.0
6,3,19.5,21.5,23.5,16.9,2.0,0.16,1.0
7,1,19.7,22.1,24.1,17.0,2.0,0.18,1.0
7,2,20.4,22.7,24.8,18.6,1.0,0.11,0.0
7,3,21.0,23.3,25.5,17.9,2.0,0.16,0.0
8,1,21.2,23.7,26.0,19.3,1.0,0.07,0.0
8,2,21.2,23.8,26.2,21.1,1.0,0.11,1.0
8,3,21.7,24.2,26.2,21.3,3.0,0.26,2.0
9,1,21.3,23.6,25.0,18.2,5.0,0.48,3.0
9,2,21.0,23.4,24.8,12.6,5.0,0.51,8.0
9,3,20.9,23.2,24.8,16.8,4.0,0.37,3.0
10,1,21.0,23.2,25.0,17.5,3.0,0.27,1.0
10,2,20.1,22.4,23.8,18.7,4.0,0.36,11.0
10,3,19.0,21.5,21.7,17.7,7.0,0.61,17.0
11,1,18.3,20.7,21.7,18.7,5.0,0.5,13.0
11,2,17.4,20.3,21.4,18.3,4.0,0.44,17.0
11,3,17.4,19.6,20.6,15.9,5.0,0.45,46.0
12,1,16.7,19.0,19.5,24.0,5.0,0.53,23.0
12,2,16.6,18.8,19.6,20.2,6.0,0.64,24.0
12,3,16.5,18.9,19.4,18.9,7.0,0.62,18.0
