m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,8.6,14.3,11.6,83.3,9.8,0.07
1,1,1,8.2,13.4,11.5,84.8,8.7,0.09
1,1,2,7.1,13.3,10.6,85.8,9.2,0.09
1,1,3,7.7,13.0,10.1,85.3,10.8,0.04
1,1,4,7.1,12.3,9.9,85.3,9.6,0.06
1,1,5,7.9,12.5,10.2,83.8,9.8,0.09
1,1,6,7.3,12.9,10.4,82.5,9.2,0.01
1,1,7,7.3,13.0,10.3,83.0,10.1,0.01
1,1,8,7.8,12.9,10.7,81.8,9.0,0.01
1,1,9,9.6,13.5,11.8,78.5,10.6,0.03
1,1,10,11.2,15.0,13.4,73.0,9.6,0.07
1,1,11,13.0,16.3,14.6,70.3,13.7,0.07
1,1,12,14.0,17.0,15.3,66.5,14.7,0.06
1,1,13,14.2,17.0,15.7,67.0,14.4,0.11
1,1,14,14.9,17.1,16.0,68.8,16.0,0.07
1,1,15,15.0,17.2,16.0,67.8,14.4,0.06
1,1,16,14.7,17.0,15.8,68.0,14.6,0.04
1,1,17,13.8,16.0,14.9,70.8,12.4,0.03
1,1,18,13.0,15.1,14.1,75.8,9.2,0.03
1,1,19,11.4,15.0,13.3,77.0,9.2,0.07
1,1,20,11.1,14.3,12.8,78.3,9.6,0.09
1,1,21,10.4,14.4,12.3,83.0,9.8,0.16
1,1,22,9.1,14.4,11.6,83.5,10.0,0.07
1,1,23,9.1,13.5,11.7,83.3,9.2,0.09
1,2,0,8.9,14.0,11.4,77.0,11.4,0.07
1,2,1,8.4,14.0,10.9,79.3,12.9,0.07
1,2,2,8.2,13.7,11.0,79.8,12.4,0.03
1,2,3,7.5,13.0,10.2,81.5,12.8,0.04
1,2,4,8.3,13.2,10.6,83.3,11.8,0.06
1,2,5,7.6,13.4,10.6,80.8,12.0,0.06
1,2,6,8.0,13.4,10.7,79.0,12.0,0.03
1,2,7,7.7,13.5,10.6,80.0,12.7,0.05
1,2,8,7.9,13.6,10.8,79.5,13.9,0.04
1,2,9,9.6,14.6,12.2,75.8,13.7,0.07
1,2,10,12.0,16.0,14.1,73.3,13.2,0.1
1,2,11,13.0,16.3,14.8,67.8,15.6,0.1
1,2,12,14.0,17.0,15.7,65.0,16.1,0.06
1,2,13,14.8,16.9,16.0,65.5,19.0,0.1
1,2,14,15.1,17.2,16.2,65.5,18.5,0.11
1,2,15,15.0,17.1,16.3,64.3,17.4,0.07
1,2,16,14.9,17.1,16.2,65.3,16.2,0.06
1,2,17,14.3,16.3,15.4,68.3,12.8,0.05
1,2,18,13.1,15.7,14.4,71.5,11.6,0.01
1,2,19,11.6,15.2,13.4,73.3,12.3,0.04
1,2,20,10.6,15.0,12.7,78.5,12.0,0.01
1,2,21,10.3,14.6,12.3,77.8,13.3,0.1
1,2,22,9.3,14.8,12.1,78.3,13.4,0.04
1,2,23,8.3,14.3,11.1,79.5,12.4,0.07
1,3,0,10.8,14.6,12.8,78.0,14.4,0.1
1,3,1,10.9,14.7,12.9,77.5,14.6,0.05
1,3,2,10.7,14.3,12.7,78.0,15.8,0.04
1,3,3,10.0,14.7,12.4,79.0,14.6,0.04
1,3,4,10.0,14.7,12.3,78.5,14.4,0.04
1,3,5,10.0,14.3,12.0,79.5,14.6,0.08
1,3,6,10.2,14.0,12.0,78.5,14.6,0.07
1,3,7,10.0,14.0,12.5,78.0,14.6,0.08
1,3,8,10.4,14.0,12.3,78.0,14.6,0.08
1,3,9,11.0,15.0,13.5,76.0,16.4,0.06
1,3,10,12.9,16.3,14.7,71.0,14.8,0.07
1,3,11,14.2,17.0,15.6,66.0,18.0,0.07
1,3,12,14.9,17.4,16.1,64.5,20.9,0.08
1,3,13,15.2,17.7,16.6,62.5,20.2,0.08
1,3,14,15.1,18.0,16.6,64.5,20.0,0.04
1,3,15,15.1,18.0,16.6,64.0,20.0,0.07
1,3,16,14.7,17.5,16.3,68.0,19.8,0.04
1,3,17,14.3,17.0,15.7,67.5,16.2,0.06
1,3,18,13.6,16.2,15.0,72.0,11.9,0.01
1,3,19,13.0,15.8,14.3,73.0,14.4,0.04
1,3,20,12.7,15.3,13.9,73.0,14.4,0.05
1,3,21,12.1,15.1,13.5,76.5,13.8,0.09
1,3,22,11.4,15.0,13.4,77.5,13.5,0.05
1,3,23,11.0,14.7,13.1,78.0,14.4,0.1
2,1,0,9.6,13.8,11.5,79.3,9.2,0.08
2,1,1,9.0,14.0,11.1,78.0,9.2,0.08
2,1,2,8.6,13.8,11.1,80.3,11.4,0.11
2,1,3,8.0,13.8,11.1,79.5,11.0,0.09
2,1,4,8.6,13.6,11.5,78.5,10.5,0.09
2,1,5,8.2,13.1,10.6,79.0,11.5,0.07
2,1,6,8.2,13.0,10.5,80.5,11.0,0.06
2,1,7,7.8,13.2,10.5,81.0,10.9,0.04
2,1,8,8.7,13.0,10.7,82.0,11.5,0.06
2,1,9,10.9,14.4,12.4,76.0,13.2,0.1
2,1,10,12.0,15.4,13.9,66.5,14.5,0.07
2,1,11,13.2,16.8,15.0,61.5,16.7,0.08
2,1,12,14.2,17.0,15.6,61.5,18.8,0.07
2,1,13,14.7,17.6,16.1,60.8,20.6,0.06
2,1,14,15.1,17.8,16.3,60.8,21.3,0.06
2,1,15,15.0,17.7,16.2,62.5,19.6,0.05
2,1,16,14.4,17.1,15.8,65.8,17.0,0.1
2,1,17,13.7,17.0,15.4,67.0,14.6,0.1
2,1,18,13.1,16.0,14.5,74.3,10.0,0.07
2,1,19,12.6,15.4,14.1,74.5,10.8,0.04
2,1,20,12.0,15.0,13.5,78.3,11.4,0.09
2,1,21,11.0,14.6,12.6,78.3,10.8,0.1
2,1,22,10.6,14.4,12.4,79.3,11.3,0.06
2,1,23,10.0,14.0,12.0,79.8,11.4,0.05
2,2,0,12.1,14.3,13.2,82.0,10.8,0.03
2,2,1,11.2,14.0,12.9,81.5,11.0,0.03
2,2,2,11.0,14.0,12.6,81.8,10.9,0.05
2,2,3,10.8,14.0,12.0,83.5,10.5,0.02
2,2,4,10.5,14.0,12.0,83.8,12.6,0.05
2,2,5,10.4,13.3,11.8,82.8,11.4,0.05
2,2,6,10.0,13.3,11.7,83.0,10.5,0.01
2,2,7,9.9,13.4,11.7,84.3,10.8,0.06
2,2,8,10.2,13.0,12.0,82.5,11.3,0.06
2,2,9,12.6,15.1,13.6,76.8,12.8,0.05
2,2,10,14.1,16.8,15.4,71.5,14.2,0.06
2,2,11,15.3,17.4,16.2,67.8,15.1,0.06
2,2,12,15.8,18.0,16.9,69.0,17.8,0.06
2,2,13,16.1,18.2,17.1,67.0,17.9,0.08
2,2,14,16.0,18.9,17.2,64.8,19.8,0.01
2,2,15,16.6,18.0,17.3,65.3,18.9,0.03
2,2,16,16.0,18.1,17.2,64.0,18.2,0.01
2,2,17,16.0,18.0,16.7,67.5,17.3,0.01
2,2,18,15.0,17.3,16.0,74.0,13.3,0.0
2,2,19,14.2,16.2,15.4,77.3,10.9,0.01
2,2,20,13.4,16.1,14.7,76.5,10.1,0.0
2,2,21,12.7,15.8,14.3,79.0,9.0,0.05
2,2,22,12.3,15.2,13.8,80.0,11.3,0.03
2,2,23,12.1,14.7,13.4,79.5,10.8,0.03
2,3,0,12.0,14.3,12.9,77.5,12.6,0.02
2,3,1,11.0,14.3,12.5,79.0,10.1,0.02
2,3,2,10.9,14.2,12.4,78.0,11.2,0.02
2,3,3,10.8,14.1,12.1,80.0,12.6,0.05
2,3,4,11.0,13.8,12.2,78.5,10.8,0.05
2,3,5,11.0,13.6,12.5,78.0,11.0,0.06
2,3,6,10.6,12.9,12.0,78.5,12.6,0.05
2,3,7,10.0,12.6,12.0,79.0,12.6,0.03
2,3,8,10.9,13.7,12.5,76.0,14.6,0.02
2,3,9,12.8,15.4,14.2,71.5,16.2,0.02
2,3,10,14.0,16.9,15.6,66.0,16.8,0.02
2,3,11,15.0,17.8,16.2,57.5,19.5,0.02
2,3,12,15.9,17.9,16.9,59.5,22.0,0.02
2,3,13,16.0,18.3,17.5,59.0,21.3,0.02
2,3,14,16.0,18.4,17.4,61.0,21.6,0.0
2,3,15,16.0,18.9,17.5,63.5,21.1,0.03
2,3,16,16.0,18.1,17.3,63.5,19.3,0.07
2,3,17,15.3,17.4,17.0,65.5,18.4,0.0
2,3,18,15.0,16.8,16.1,70.5,15.5,0.0
2,3,19,14.2,16.2,15.2,70.5,12.6,0.02
2,3,20,13.4,15.9,14.7,73.0,11.9,0.03
2,3,21,13.0,15.1,13.8,74.0,10.8,0.0
2,3,22,12.0,15.0,13.6,77.0,11.0,0.02
2,3,23,12.0,14.7,13.0,77.5,11.0,0.02
3,1,0,11.1,14.3,12.6,79.8,13.2,0.03
3,1,1,11.0,14.2,12.6,78.5,12.8,0.06
3,1,2,10.4,14.2,12.4,79.3,10.5,0.04
3,1,3,10.1,14.1,12.4,82.3,11.0,0.05
3,1,4,10.2,14.3,12.6,83.3,14.2,0.07
3,1,5,9.8,14.0,12.3,82.0,12.0,0.09
3,1,6,9.4,14.1,11.9,85.3,13.5,0.11
3,1,7,9.3,14.1,11.9,82.5,11.3,0.07
3,1,8,10.9,14.7,12.6,81.5,10.6,0.04
3,1,9,13.0,15.8,14.3,75.0,12.1,0.08
3,1,10,14.3,16.9,15.5,70.8,14.4,0.1
3,1,11,15.0,17.3,16.0,69.3,17.3,0.16
3,1,12,15.7,18.0,16.6,67.5,17.4,0.07
3,1,13,15.6,18.0,16.9,64.8,19.5,0.09
