m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,3,2,-16.0,-6.0,-10.0,82.0,3.6,0.22
1,3,3,-15.0,-6.0,-10.5,84.5,3.6,0.2
1,3,4,-15.3,-6.0,-10.5,84.5,3.6,0.24
1,3,5,-15.0,-6.0,-10.5,85.0,3.6,0.22
1,3,6,-15.6,-5.2,-10.8,84.5,4.5,0.24
1,3,7,-15.1,-5.0,-11.0,85.0,3.6,0.22
1,3,8,-15.0,-5.0,-10.0,85.0,3.6,0.2
1,3,9,-14.0,-5.0,-9.5,82.5,4.7,0.2
1,3,10,-11.0,-2.0,-7.0,77.5,4.7,0.15
1,3,11,-10.0,-1.0,-4.5,70.0,4.7,0.15
1,3,12,-7.0,1.0,-3.0,62.5,5.6,0.18
1,3,13,-7.0,2.1,-2.0,61.5,8.3,0.2
1,3,14,-5.0,3.0,-1.6,56.5,9.2,0.22
1,3,15,-5.0,3.0,-1.6,56.0,9.2,0.22
1,3,16,-6.0,1.0,-2.5,59.0,9.2,0.22
1,3,17,-8.0,-1.0,-4.5,68.5,6.5,0.2
1,3,18,-9.0,-2.0,-6.0,74.5,7.4,0.24
1,3,19,-11.0,-2.0,-6.6,78.5,6.5,0.25
1,3,20,-11.0,-3.0,-7.5,76.5,4.5,0.25
1,3,21,-12.0,-3.0,-8.2,80.0,4.5,0.27
1,3,22,-13.0,-4.0,-8.0,82.5,4.7,0.25
1,3,23,-14.0,-4.0,-9.0,81.0,3.6,0.2
2,1,0,-13.2,-2.5,-7.8,86.3,4.1,0.18
2,1,1,-13.5,-3.0,-8.5,86.5,4.6,0.22
2,1,2,-14.5,-4.0,-8.8,88.5,4.5,0.18
2,1,3,-14.1,-4.0,-8.3,88.0,4.1,0.18
2,1,4,-14.5,-4.0,-8.5,88.3,4.5,0.22
2,1,5,-15.0,-4.0,-9.0,87.0,3.6,0.22
2,1,6,-16.0,-5.0,-10.2,88.8,2.7,0.2
2,1,7,-16.0,-5.5,-9.7,87.0,3.6,0.18
2,1,8,-14.5,-5.3,-8.7,87.3,3.6,0.18
2,1,9,-12.0,-5.0,-8.0,86.0,3.6,0.16
2,1,10,-10.3,-2.5,-6.4,81.8,7.4,0.18
2,1,11,-5.9,0.0,-2.7,70.8,6.5,0.24
2,1,12,-4.5,2.0,-0.9,63.0,8.8,0.26
2,1,13,-3.0,3.0,0.0,58.0,12.1,0.22
2,1,14,-2.9,3.0,0.4,53.8,13.0,0.22
2,1,15,-3.0,3.0,0.3,57.0,12.6,0.16
2,1,16,-4.0,2.5,-0.3,64.3,11.2,0.22
2,1,17,-6.0,1.0,-2.0,72.0,8.3,0.2
2,1,18,-7.5,-0.5,-4.8,76.8,7.4,0.18
2,1,19,-8.5,-1.0,-4.4,79.3,7.0,0.16
2,1,20,-9.6,-1.0,-4.8,81.8,6.5,0.18
2,1,21,-11.5,-1.0,-6.5,82.5,5.5,0.24
2,1,22,-12.0,-1.5,-6.8,83.3,6.1,0.24
2,1,23,-12.5,-1.5,-6.8,83.3,4.9,0.18
2,2,0,-12.5,-3.0,-7.8,83.0,4.5,0.08
2,2,1,-13.1,-3.5,-8.5,84.3,3.6,0.08
2,2,2,-14.8,-3.3,-9.1,84.0,4.6,0.14
2,2,3,-13.7,-4.0,-9.1,83.8,3.7,0.14
2,2,4,-15.0,-4.6,-10.0,82.3,4.5,0.1
2,2,5,-15.5,-4.5,-10.3,85.0,4.5,0.12
2,2,6,-15.5,-4.5,-10.0,85.3,5.2,0.12
2,2,7,-14.5,-4.5,-9.3,84.0,4.6,0.1
2,2,8,-14.0,-4.0,-8.7,80.0,3.6,0.08
2,2,9,-10.3,-3.0,-6.3,76.8,5.1,0.1
2,2,10,-8.0,0.0,-4.1,67.8,4.1,0.06
2,2,11,-4.0,1.0,-1.2,58.8,7.4,0.08
2,2,12,-2.5,3.5,0.7,47.5,8.9,0.1
2,2,13,-0.6,5.4,2.3,45.8,10.7,0.08
2,2,14,-0.5,6.5,3.0,44.8,10.6,0.08
2,2,15,-0.5,5.9,2.3,46.3,10.6,0.08
2,2,16,-1.5,4.0,1.3,50.5,10.6,0.08
2,2,17,-3.3,1.1,-0.8,57.3,9.2,0.08
2,2,18,-6.0,-0.9,-2.7,67.3,7.0,0.08
2,2,19,-6.1,-1.0,-4.0,71.3,6.5,0.08
2,2,20,-9.5,-2.0,-5.5,74.3,6.1,0.06
2,2,21,-10.0,-2.5,-5.8,78.0,4.5,0.04
2,2,22,-10.0,-2.5,-6.2,81.3,4.3,0.04
2,2,23,-12.0,-2.9,-7.1,83.0,5.3,0.08
2,3,0,-8.0,-2.0,-4.5,81.5,5.6,0.11
2,3,1,-9.0,-1.8,-5.3,82.5,5.6,0.11
2,3,2,-10.0,-2.0,-5.5,86.5,6.5,0.11
2,3,3,-9.0,-2.4,-6.0,86.0,3.6,0.13
2,3,4,-10.0,-4.0,-6.9,86.5,5.4,0.13
2,3,5,-10.0,-3.2,-6.6,85.5,3.6,0.18
2,3,6,-11.0,-3.5,-7.0,86.0,4.5,0.16
2,3,7,-11.0,-3.0,-7.0,86.0,4.7,0.09
2,3,8,-10.0,-4.0,-6.0,82.5,3.8,0.16
2,3,9,-7.0,0.0,-4.0,75.0,8.3,0.16
2,3,10,-5.0,0.0,-2.1,67.0,11.2,0.16
2,3,11,-2.0,2.0,0.5,58.0,10.1,0.13
2,3,12,0.0,3.3,2.5,53.0,11.2,0.11
2,3,13,2.0,5.0,2.5,48.0,14.8,0.11
2,3,14,2.0,6.3,3.5,47.5,13.9,0.09
2,3,15,2.0,6.6,3.5,53.5,15.0,0.09
2,3,16,1.0,5.5,1.5,54.5,13.0,0.11
2,3,17,-1.0,3.0,0.5,64.0,11.9,0.13
2,3,18,-3.0,0.0,-1.0,65.0,9.2,0.11
2,3,19,-4.0,0.0,-2.1,68.0,8.3,0.13
2,3,20,-5.0,-1.0,-2.5,77.5,6.5,0.11
2,3,21,-5.4,-1.1,-3.1,77.0,6.5,0.11
2,3,22,-7.0,-1.0,-4.0,79.0,6.5,0.13
2,3,23,-7.8,-2.0,-4.5,79.5,7.4,0.13
3,1,0,-10.0,-2.0,-6.6,81.8,3.6,0.12
3,1,1,-10.0,-3.5,-6.8,83.8,3.6,0.12
3,1,2,-12.0,-3.0,-7.5,85.8,3.6,0.1
3,1,3,-11.0,-3.5,-7.8,85.5,3.6,0.12
3,1,4,-11.4,-4.0,-7.8,86.0,3.6,0.1
3,1,5,-12.5,-5.0,-8.8,85.8,3.6,0.16
3,1,6,-13.0,-5.0,-9.1,86.0,3.2,0.1
3,1,7,-12.0,-5.5,-8.5,85.8,2.8,0.16
3,1,8,-12.0,-4.0,-8.2,84.5,2.7,0.14
3,1,9,-9.5,-1.5,-6.0,75.5,3.2,0.16
3,1,10,-6.0,0.1,-3.5,66.5,3.2,0.16
3,1,11,-2.5,2.0,-0.5,57.5,7.9,0.1
3,1,12,-0.8,3.3,1.2,49.0,10.1,0.14
3,1,13,0.4,4.5,2.0,47.0,13.4,0.1
3,1,14,1.0,4.5,2.3,48.3,14.4,0.12
3,1,15,0.5,4.0,2.5,51.0,13.0,0.1
3,1,16,0.0,3.5,1.5,55.8,13.0,0.14
3,1,17,-2.0,1.5,0.3,65.0,11.1,0.14
3,1,18,-3.0,1.0,-1.3,67.3,9.8,0.14
3,1,19,-4.5,0.0,-2.5,71.3,7.9,0.14
3,1,20,-6.0,-1.0,-3.5,74.3,6.1,0.1
3,1,21,-7.0,-1.0,-4.5,76.8,5.6,0.08
3,1,22,-8.0,-1.5,-5.4,79.5,5.6,0.1
3,1,23,-8.7,-1.5,-5.6,79.5,6.5,0.14
3,2,0,-7.5,-1.0,-4.8,86.3,4.2,0.25
3,2,1,-7.0,-2.0,-4.5,86.3,5.6,0.29
3,2,2,-8.0,-1.5,-4.8,86.5,4.2,0.32
3,2,3,-7.0,-2.0,-4.7,86.0,3.7,0.34
3,2,4,-7.0,-2.0,-4.9,87.8,4.6,0.39
3,2,5,-7.5,-2.0,-5.0,89.5,4.1,0.27
3,2,6,-7.5,-2.0,-5.5,89.3,4.5,0.22
3,2,7,-7.0,-2.0,-5.0,87.5,3.6,0.25
3,2,8,-7.5,-1.5,-4.8,84.5,3.2,0.22
3,2,9,-4.5,0.0,-2.5,76.0,4.2,0.17
3,2,10,-3.0,4.0,0.0,61.3,10.2,0.18
3,2,11,-2.0,5.0,1.8,57.5,11.6,0.2
3,2,12,-1.0,6.0,2.3,54.8,12.4,0.18
3,2,13,0.5,6.0,2.8,52.5,14.9,0.15
3,2,14,0.0,6.5,3.0,55.0,18.6,0.2
3,2,15,-0.5,6.5,2.5,55.5,16.4,0.18
3,2,16,-1.0,6.5,2.5,57.8,15.8,0.2
3,2,17,-2.0,4.5,1.0,63.3,13.5,0.13
3,2,18,-3.0,3.0,-0.5,66.0,12.6,0.13
3,2,19,-3.5,1.0,-1.3,72.3,10.1,0.13
3,2,20,-4.5,0.5,-2.0,76.0,9.2,0.13
3,2,21,-5.0,0.0,-2.8,79.8,7.0,0.15
3,2,22,-6.5,-1.5,-3.3,80.0,8.3,0.2
3,2,23,-7.0,-1.5,-4.3,82.5,6.1,0.2
3,3,0,-6.0,-2.0,-4.0,79.5,7.4,0.14
3,3,1,-7.0,-2.0,-5.0,82.5,4.7,0.11
3,3,2,-8.0,-2.0,-5.5,84.5,3.6,0.14
3,3,3,-8.0,-3.0,-5.5,86.0,4.7,0.11
3,3,4,-9.0,-2.0,-6.5,86.0,3.6,0.09
3,3,5,-9.0,-3.0,-6.5,86.0,3.6,0.11
3,3,6,-10.0,-3.0,-7.0,89.0,3.6,0.14
3,3,7,-9.0,-3.0,-6.5,86.5,3.6,0.2
3,3,8,-8.0,-2.0,-4.5,81.5,2.7,0.18
3,3,9,-4.0,2.0,-1.0,65.0,5.6,0.23
3,3,10,-1.0,4.0,1.5,54.0,8.3,0.25
3,3,11,0.0,6.0,3.0,49.0,9.2,0.18
3,3,12,1.0,8.0,4.5,42.0,12.1,0.36
3,3,13,1.0,8.0,5.0,47.0,12.8,0.3
3,3,14,1.0,9.0,4.5,46.0,15.0,0.18
3,3,15,0.0,9.0,4.0,47.0,15.0,0.2
3,3,16,0.0,8.0,4.0,52.0,15.0,0.18
3,3,17,-1.0,6.0,2.0,55.5,15.1,0.16
3,3,18,-1.0,4.0,1.0,58.0,11.9,0.18
3,3,19,-2.0,2.0,-0.5,66.0,11.2,0.16
3,3,20,-3.0,1.0,-1.0,72.5,10.1,0.18
3,3,21,-4.0,1.0,-2.0,71.0,7.4,0.16
3,3,22,-5.0,0.0,-2.5,77.0,5.7,0.16
3,3,23,-5.0,-1.0,-3.0,80.0,8.3,0.16
4,1,0,-5.0,0.5,-2.3,81.5,6.1,0.23
4,1,1,-5.5,0.0,-2.8,83.0,5.5,0.23
4,1,2,-7.0,0.0,-3.0,84.5,5.6,0.2
4,1,3,-5.5,0.0,-3.3,86.0,4.6,0.15
4,1,4,-6.5,-0.5,-3.5,86.0,3.6,0.18
4,1,5,-7.0,0.0,-4.3,86.3,3.6,0.2
4,1,6,-7.0,-1.5,-4.3,89.0,4.7,0.18
4,1,7,-7.0,-0.5,-4.3,84.5,4.6,0.18
4,1,8,-3.5,1.0,-1.3,75.5,3.9,0.15
4,1,9,-1.5,3.0,0.8,60.3,7.0,0.18
4,1,10,1.0,5.5,2.8,52.0,9.2,0.18
4,1,11,2.5,7.0,5.0,49.5,12.0,0.18
4,1,12,2.0,7.5,4.8,46.5,13.9,0.2
4,1,13,2.0,8.0,5.3,46.5,15.9,0.2
4,1,14,1.5,8.0,5.0,48.5,16.3,0.2
4,1,15,1.5,7.5,5.0,49.8,15.4,0.25
4,1,16,1.0,7.0,4.3,56.0,14.9,0.2
4,1,17,0.5,6.5,3.3,59.3,13.9,0.25
4,1,18,-0.5,4.0,1.8,65.8,10.1,0.23
4,1,19,-1.0,3.0,1.3,72.0,10.1,0.23
4,1,20,-2.0,2.5,0.3,74.0,9.2,0.25
4,1,21,-3.0,1.0,-0.8,78.3,9.2,0.25
4,1,22,-3.5,1.0,-1.0,80.3,5.2,0.23
4,1,23,-4.5,1.0,-1.5,80.5,6.5,0.23
4,2,0,-3.0,0.5,-1.0,86.5,5.6,0.23
4,2,1,-3.5,0.0,-2.0,86.5,6.5,0.25
4,2,2,-4.0,-1.0,-2.3,86.8,5.2,0.23
4,2,3,-5.5,-1.0,-3.0,89.5,3.2,0.23
4,2,4,-5.5,-1.0,-3.3,89.5,3.6,0.2
4,2,5,-5.5,-1.5,-3.3,89.5,4.1,0.23
4,2,6,-5.5,-0.5,-3.0,88.3,3.2,0.2
4,2,7,-5.0,-0.5,-2.8,86.5,3.2,0.2
4,2,8,-2.0,3.0,1.0,72.8,4.2,0.23
4,2,9,-0.5,7.5,3.5,57.5,6.5,0.23
4,2,10,1.0,9.5,5.5,49.0,10.1,0.18
4,2,11,1.0,11.5,6.0,44.3,9.6,0.18
4,2,12,2.5,12.0,6.8,42.8,13.0,0.15
4,2,13,2.5,12.0,6.8,43.3,13.6,0.25
4,2,14,2.0,13.0,7.3,45.0,15.4,0.25
4,2,15,1.5,12.5,7.0,46.0,15.0,0.25
4,2,16,2.0,11.5,7.0,49.5,17.6,0.23
4,2,17,1.0,10.0,6.0,56.3,16.8,0.18
4,2,18,1.0,8.0,4.0,61.5,12.1,0.15
4,2,19,-0.5,6.0,2.3,70.3,10.7,0.15
4,2,20,-1.0,4.0,1.8,73.5,10.1,0.15
4,2,21,-2.0,2.5,0.5,75.3,7.9,0.2
4,2,22,-2.0,2.0,-0.3,79.3,7.4,0.2
4,2,23,-2.5,1.0,-1.0,83.3,5.2,0.23
4,3,0,-2.0,3.0,0.5,86.8,7.4,0.15
4,3,1,-2.0,3.0,0.3,89.8,5.6,0.2
4,3,2,-3.0,2.0,0.0,90.0,5.6,0.2
4,3,3,-2.5,2.0,-0.3,91.5,4.6,0.18
4,3,4,-3.0,2.0,-0.5,90.0,4.7,0.2
4,3,5,-3.0,2.0,-0.5,89.8,4.7,0.15
4,3,6,-3.0,2.0,-0.3,89.8,3.6,0.23
4,3,7,-2.0,3.0,0.8,85.8,5.2,0.28
4,3,8,1.5,7.0,4.3,73.5,5.6,0.33
4,3,9,4.0,8.5,6.5,61.5,9.2,0.23
4,3,10,5.0,11.0,7.8,53.3,10.6,0.25
4,3,11,5.0,12.0,8.5,50.3,13.9,0.28
4,3,12,6.0,12.0,8.8,48.3,16.4,0.38
4,3,13,6.0,13.0,9.5,47.8,18.1,0.28
4,3,14,7.0,12.5,9.8,50.0,18.6,0.28
4,3,15,6.0,11.5,8.5,51.3,18.6,0.25
4,3,16,5.5,11.0,8.0,54.8,17.7,0.15
4,3,17,4.0,10.0,7.0,60.0,18.2,0.23
4,3,18,3.0,8.5,6.0,65.8,13.5,0.2
4,3,19,2.5,6.0,4.5,72.3,12.1,0.2
4,3,20,1.5,5.5,3.3,77.8,8.3,0.23
4,3,21,0.5,4.5,2.5,80.5,6.5,0.15
4,3,22,0.0,4.0,1.8,85.3,6.5,0.18
4,3,23,-0.5,4.0,1.5,86.8,5.6,0.15
5,1,0,0.0,4.5,2.0,87.3,5.2,0.23
5,1,1,0.0,4.5,2.0,90.5,5.6,0.18
5,1,2,0.0,3.5,1.5,91.8,4.7,0.18
5,1,3,-1.0,3.5,1.0,93.0,4.2,0.2
5,1,4,-1.5,3.5,1.0,93.0,3.6,0.15
5,1,5,-1.5,4.0,1.0,93.3,3.6,0.2
5,1,6,-0.5,5.0,2.0,93.3,3.2,0.2
5,1,7,1.0,6.0,3.5,85.5,5.2,0.2
5,1,8,4.5,8.0,6.5,68.0,7.4,0.23
5,1,9,7.0,10.5,8.8,58.0,10.6,0.18
5,1,10,7.0,13.0,10.0,52.0,13.5,0.25
5,1,11,7.5,14.0,10.8,49.3,16.8,0.28
5,1,12,7.5,15.0,11.0,50.0,17.7,0.33
5,1,13,8.0,15.0,11.0,49.8,18.1,0.28
5,1,14,8.0,14.5,10.8,47.3,18.1,0.28
5,1,15,7.0,14.0,10.3,52.0,18.2,0.2
5,1,16,7.0,13.5,9.8,55.8,19.0,0.23
5,1,17,5.5,12.5,8.8,58.0,16.8,0.28
5,1,18,4.5,11.0,7.5,67.3,14.1,0.25
5,1,19,4.0,9.0,6.5,72.8,11.1,0.28
5,1,20,3.5,7.5,5.0,77.0,9.6,0.28
5,1,21,2.0,6.5,3.8,81.0,9.6,0.28
5,1,22,2.0,6.0,3.3,84.0,7.9,0.25
5,1,23,0.0,5.5,2.5,86.8,7.0,0.25
5,2,0,1.5,6.0,4.3,90.0,7.9,0.28
5,2,1,1.5,6.0,3.8,93.3,6.5,0.28
5,2,2,1.0,5.0,3.5,96.5,5.6,0.23
5,2,3,1.0,5.0,3.0,93.5,3.6,0.23
5,2,4,0.0,5.0,2.5,96.5,4.7,0.2
5,2,5,1.0,5.0,3.0,93.5,4.7,0.2
5,2,6,2.0,5.5,3.5,89.0,6.1,0.2
5,2,7,3.0,7.0,5.3,84.8,5.6,0.23
5,2,8,5.0,9.5,7.5,71.3,10.6,0.2
5,2,9,6.0,11.5,8.5,59.8,11.7,0.23
5,2,10,7.0,12.0,9.5,58.8,13.0,0.28
5,2,11,7.0,13.5,10.3,56.5,13.0,0.23
5,2,12,7.0,14.0,10.8,55.3,15.9,0.28
5,2,13,8.0,14.5,11.0,54.8,15.5,0.33
5,2,14,7.0,14.5,10.3,53.8,17.3,0.35
5,2,15,7.0,14.0,10.3,57.3,17.7,0.4
5,2,16,6.5,12.5,9.5,62.0,16.8,0.38
5,2,17,6.0,11.5,8.8,66.3,16.3,0.3
5,2,18,5.0,10.0,7.5,72.5,13.2,0.3
5,2,19,4.0,9.0,6.5,79.8,10.2,0.28
5,2,20,4.0,9.0,6.3,80.3,10.2,0.25
5,2,21,3.0,7.5,5.0,84.3,9.2,0.28
5,2,22,2.5,7.0,4.5,87.0,7.0,0.2
5,2,23,2.5,6.5,4.5,87.8,6.1,0.25
5,3,0,1.0,6.0,4.0,90.5,4.5,0.16
5,3,1,1.0,6.0,3.0,93.0,3.8,0.2
5,3,2,1.0,6.0,3.0,96.5,3.6,0.18
5,3,3,0.0,5.0,2.5,96.5,2.7,0.2
5,3,4,0.0,5.0,2.5,96.5,2.7,0.32
5,3,5,1.0,6.0,3.0,96.5,2.7,0.16
5,3,6,1.0,6.0,4.0,93.5,2.7,0.14
5,3,7,4.0,9.0,6.5,84.0,3.6,0.18
5,3,8,7.0,11.0,9.0,69.0,6.5,0.25
5,3,9,8.0,14.0,11.0,57.0,8.3,0.3
5,3,10,10.0,15.0,12.5,55.5,9.2,0.3
5,3,11,10.0,16.0,12.5,52.5,13.0,0.23
5,3,12,10.0,17.0,13.0,49.5,14.1,0.16
5,3,13,10.0,17.0,13.5,51.0,15.9,0.23
5,3,14,10.0,16.0,13.0,49.0,16.8,0.2
5,3,15,10.0,15.0,13.0,53.5,17.5,0.2
5,3,16,9.0,15.0,12.5,55.0,15.7,0.23
5,3,17,9.0,14.0,11.5,57.0,15.0,0.2
5,3,18,8.0,12.0,10.2,64.0,13.9,0.18
5,3,19,6.0,11.0,8.5,70.5,11.0,0.2
5,3,20,5.0,10.0,7.5,78.5,8.3,0.18
5,3,21,4.0,8.0,6.0,84.0,6.5,0.11
5,3,22,2.0,7.0,4.5,90.0,4.7,0.11
5,3,23,2.0,7.0,4.5,88.0,4.7,0.14
6,1,0,5.0,8.0,6.5,95.0,3.6,0.08
6,1,1,5.0,8.0,6.5,95.0,2.7,0.08
6,1,2,3.5,7.5,5.3,96.5,2.7,0.08
6,1,3,3.5,7.0,5.0,96.5,3.2,0.1
6,1,4,3.0,7.0,5.0,98.3,3.2,0.1
6,1,5,3.5,8.0,5.5,96.5,2.7,0.1
6,1,6,4.0,8.0,6.3,96.5,2.7,0.1
6,1,7,6.5,11.0,8.5,88.0,2.7,0.08
6,1,8,8.5,13.5,11.0,73.8,5.6,0.13
6,1,9,11.5,16.0,13.0,63.8,7.4,0.18
6,1,10,12.5,17.0,14.5,56.0,10.1,0.18
6,1,11,13.0,17.0,15.0,55.5,15.9,0.25
6,1,12,12.0,18.0,15.3,52.8,16.4,0.25
6,1,13,12.0,18.0,15.0,56.0,19.1,0.25
6,1,14,11.5,18.0,14.8,57.8,17.7,0.35
6,1,15,11.5,17.0,14.3,63.8,16.3,0.38
6,1,16,11.0,17.0,14.0,66.3,16.4,0.25
6,1,17,10.5,15.5,13.3,66.3,17.7,0.2
6,1,18,10.0,14.0,12.0,73.5,13.0,0.2
6,1,19,9.0,12.5,11.0,81.0,11.0,0.13
6,1,20,8.0,11.5,9.8,83.5,8.8,0.13
6,1,21,6.5,10.0,8.3,90.8,6.1,0.08
6,1,22,5.5,10.0,8.0,90.8,5.6,0.03
6,1,23,5.5,9.0,7.0,93.5,4.6,0.03
6,2,0,5.0,9.5,7.0,88.0,4.5,0.05
6,2,1,4.5,8.5,6.3,92.5,3.6,0.03
6,2,2,3.4,8.0,5.8,93.8,2.7,0.03
6,2,3,3.0,7.0,5.5,96.3,2.7,0.0
6,2,4,2.5,7.0,5.0,94.5,2.7,0.0
6,2,5,2.5,8.0,5.5,94.3,2.7,0.0
6,2,6,4.5,9.5,7.0,93.5,3.2,0.0
6,2,7,8.0,12.0,10.0,83.5,2.7,0.0
6,2,8,11.0,15.5,12.8,64.8,6.1,0.03
6,2,9,12.0,17.5,14.5,56.0,9.3,0.13
6,2,10,12.0,18.5,15.8,54.5,13.5,0.15
6,2,11,14.0,19.5,16.5,51.0,13.9,0.2
6,2,12,14.0,20.0,17.3,50.5,17.7,0.18
6,2,13,14.4,20.0,17.5,50.0,18.6,0.2
6,2,14,14.0,20.0,17.0,50.8,18.2,0.1
6,2,15,14.0,19.0,16.5,49.8,19.1,0.18
6,2,16,13.5,19.0,16.3,53.0,21.3,0.13
6,2,17,12.0,18.0,15.3,59.5,18.2,0.05
6,2,18,11.0,16.0,14.0,63.5,15.4,0.08
6,2,19,10.0,15.0,12.8,66.5,11.7,0.08
6,2,20,9.0,14.0,12.0,70.5,9.2,0.08
6,2,21,7.5,11.2,9.5,77.0,7.4,0.08
6,2,22,6.5,10.5,8.3,83.5,6.1,0.1
6,2,23,5.5,10.0,7.8,87.8,5.6,0.08
6,3,0,6.0,10.0,8.3,91.0,3.6,0.18
6,3,1,5.5,9.8,8.0,93.3,3.2,0.2
6,3,2,5.0,9.4,7.0,93.5,3.2,0.18
6,3,3,4.5,9.0,6.7,94.0,2.7,0.18
6,3,4,4.5,9.0,6.3,96.5,3.6,0.13
6,3,5,4.0,9.5,6.5,95.8,2.7,0.13
6,3,6,5.5,11.0,8.5,93.5,2.7,0.13
6,3,7,9.5,13.0,11.0,82.8,3.6,0.08
6,3,8,11.5,17.0,14.5,71.5,6.1,0.15
6,3,9,13.0,18.8,15.9,61.3,11.0,0.15
6,3,10,15.0,20.5,17.5,51.5,14.1,0.15
6,3,11,15.2,22.0,18.4,50.5,15.9,0.25
6,3,12,15.4,22.0,18.5,49.8,17.3,0.25
6,3,13,16.4,22.2,19.0,47.5,18.1,0.15
6,3,14,15.1,21.5,18.0,50.3,17.3,0.25
6,3,15,15.0,21.5,18.2,52.0,19.5,0.23
6,3,16,14.4,20.9,17.6,53.3,16.4,0.3
6,3,17,13.7,20.0,16.8,57.3,16.7,0.18
6,3,18,12.0,18.0,15.8,63.3,14.5,0.2
6,3,19,11.0,15.5,13.5,69.5,11.9,0.18
6,3,20,10.0,14.5,12.5,75.3,8.8,0.2
6,3,21,9.0,14.0,11.3,82.3,6.5,0.15
6,3,22,8.3,12.0,10.2,85.3,5.6,0.2
6,3,23,7.4,11.0,9.0,89.0,4.5,0.15
7,1,0,6.0,9.7,8.1,93.8,3.6,0.18
7,1,1,6.0,10.0,7.5,93.5,3.6,0.18
7,1,2,5.2,9.5,7.4,96.0,3.6,0.18
7,1,3,4.0,9.0,6.5,96.5,2.7,0.18
7,1,4,4.0,8.8,6.4,96.5,2.7,0.18
7,1,5,4.0,9.0,6.2,96.5,2.7,0.08
7,1,6,5.0,9.0,7.0,96.3,2.7,0.13
7,1,7,9.0,11.4,10.5,85.3,2.7,0.1
7,1,8,12.0,16.0,13.5,73.0,3.6,0.05
7,1,9,14.0,18.3,16.2,55.8,8.8,0.15
7,1,10,15.0,20.5,18.0,49.8,12.0,0.23
